RandomForest,Ridge,Lasso,RFE
np,upper_bw,solver_id,row_var
solver_id,trace,row_diag_dom,col_var
col_log_val_spread,symm_inf_norm,avg_nnz_row,diag_var
nnz,symm_frob_norm,diag_sign,trace
cols,symm,num_value_symm_1,abs_trace
rows,solver_id,nnz_pattern_symm_2,frob_norm
lower_bw,rows,num_value_symm_2,symm_frob_norm
abs_trace,row_var,rows,antisymm_frob_norm
row_log_val_spread,row_log_val_spread,cols,inf_norm
trace,row_diag_dom,col_log_val_spread,one_norm
antisymm_frob_norm,one_norm,row_log_val_spread,symm_inf_norm
nnz_pattern_symm_2,num_value_symm_2,col_diag_dom,antisymm_inf_norm
max_nnz_row,num_value_symm_1,dummy_rows,diag_avg
diag_avg,np,nnz_pattern_symm_1,nnz
antisymm_inf_norm,nnz_pattern_symm_2,diag_nnz,lower_bw
symm_inf_norm,nnz_pattern_symm_1,symm,diag_nnz
diag_nnz,nnz,nnz,min_nnz_row
col_var,min_nnz_row.1,min_nnz_row.1,cols
num_value_symm_2,min_nnz_row,inf_norm,rows
dummy_rows,max_nnz_row,min_nnz_row,upper_bw
upper_bw,lower_bw,upper_bw,dummy_rows
inf_norm,inf_norm,antisymm_inf_norm,max_nnz_row
frob_norm,frob_norm,lower_bw,avg_nnz_row
symm_frob_norm,dummy_rows_kind,trace,row_log_val_spread
col_diag_dom,dummy_rows,symm_inf_norm,col_log_val_spread
one_norm,diag_var,symm_frob_norm,min_nnz_row.1
diag_sign,diag_sign,row_var,dummy_rows_kind
row_var,diag_nnz,one_norm,diag_sign
diag_var,diag_avg,np,nnz_pattern_symm_2
avg_nnz_row,cols,max_nnz_row,num_value_symm_2
row_diag_dom,col_var,frob_norm,np
min_nnz_row,col_log_val_spread,dummy_rows_kind,row_diag_dom
min_nnz_row.1,col_diag_dom,diag_var,col_diag_dom
dummy_rows_kind,avg_nnz_row,diag_avg,symm
nnz_pattern_symm_1,antisymm_inf_norm,col_var,num_value_symm_1
symm,antisymm_frob_norm,antisymm_frob_norm,nnz_pattern_symm_1
num_value_symm_1,abs_trace,abs_trace,solver_id
