Feature,All_Features_Scores(components=10),All_Features_Scores,No_System_Features,No_NP
solver_id,4.22E-01,4.64E-01,3.59E-01,3.74E-01
prec_id,2.32E-01,1.78E-01,1.71E-01,2.30E-01
np,1.04E-01,1.04E-01,1.17E-01,
system_id,2.22E-05,2.80E-05,4.49E-02,2.49E-02
num_value_symm_2,2.98E-02,3.16E-02,4.25E-02,4.69E-02
row_log_val_spread,2.59E-02,2.84E-02,3.52E-02,3.57E-02
row_var,2.06E-02,2.24E-02,2.73E-02,2.89E-02
diag_sign,2.18E-02,2.17E-02,2.62E-02,3.29E-02
avg_nnz_row,2.00E-02,2.05E-02,2.53E-02,3.31E-02
nnz,1.92E-02,2.03E-02,2.33E-02,2.86E-02
lower_bw,1.91E-02,2.04E-02,2.29E-02,2.86E-02
max_nnz_row,1.98E-02,2.18E-02,2.26E-02,3.16E-02
rows,1.83E-02,1.81E-02,2.26E-02,2.58E-02
dummy_rows,1.79E-02,1.97E-02,2.14E-02,2.90E-02
upper_bw,1.09E-02,1.06E-02,1.53E-02,1.87E-02
min_nnz_row,9.07E-03,8.69E-03,1.26E-02,1.42E-02
dummy_rows_kind,3.96E-03,4.16E-03,5.23E-03,9.09E-03
row_diag_dom,4.55E-03,4.29E-03,5.23E-03,6.71E-03
num_value_symm_1,7.37E-04,8.61E-04,5.78E-04,8.84E-04
HPL_Tflops,1.15E-05,1.89E-05,,
StarDGEMM_Gflops,9.05E-06,2.26E-05,,
SingleDGEMM_Gflops,3.49E-05,1.85E-05,,
PTRANS_GBs,1.59E-05,2.26E-05,,
MPIRandomAccess_LCG_GUPs,1.81E-05,1.68E-05,,
MPIRandomAccess_GUPs,9.39E-06,1.89E-05,,
StarRandomAccess_LCG_GUPs,1.08E-05,2.71E-05,,
SingleRandomAccess_LCG_GUPs,1.21E-05,1.51E-05,,
StarRandomAccess_GUPs,2.85E-05,1.31E-05,,
SingleRandomAccess_GUPs,1.68E-05,2.87E-05,,
StarSTREAM_Copy,1.98E-05,3.60E-05,,
StarSTREAM_Scale,2.02E-05,2.00E-05,,
StarSTREAM_Add,1.39E-05,2.20E-05,,
StarSTREAM_Triad,2.42E-05,2.98E-05,,
SingleSTREAM_Copy,2.15E-05,3.04E-05,,
SingleSTREAM_Scale,2.10E-05,1.68E-05,,
SingleSTREAM_Add,2.75E-05,2.23E-05,,
SingleSTREAM_Triad,1.57E-05,2.96E-05,,
StarFFT_Gflops,2.56E-05,1.78E-05,,
SingleFFT_Gflops,2.28E-05,1.39E-05,,
MPIFFT_Gflops,2.29E-05,1.84E-05,,
MaxPingPongLatency_usec,2.88E-05,2.87E-05,,
RandomlyOrderedRingLatency_usec,2.34E-05,1.73E-05,,
MinPingPongBandwidth_GBytes,2.10E-05,1.30E-05,,
NaturallyOrderedRingBandwidth_GBytes,1.65E-05,1.94E-05,,
RandomlyOrderedRingBandwidth_GBytes,1.95E-05,3.47E-05,,
MinPingPongLatency_usec,1.72E-05,2.89E-05,,
AvgPingPongLatency_usec,2.43E-05,2.64E-05,,
MaxPingPongBandwidth_GBytes,1.67E-05,1.77E-05,,
AvgPingPongBandwidth_GBytes,1.88E-05,1.90E-05,,
NaturallyOrderedRingLatency_usec,2.92E-05,3.27E-05,,
MemProc,1.51E-05,3.05E-05,,
core_count,1.49E-05,1.34E-05,,
cpu_freq,9.83E-06,1.38E-05,,
bogo_mips,1.72E-05,1.28E-05,,
l1_cache,0.00E+00,0.00E+00,,
l2_cache,0.00E+00,0.00E+00,,
l3_cache,2.06E-05,2.19E-05,,
memory_size,1.29E-05,1.37E-05,,
memory_freq,1.39E-05,2.06E-05,,
memory_type,9.39E-06,1.31E-05,,
